state,type,legal_status,minimum_age
Alaska,prizepicks college player picks,Legal,age_18_plus
California,prizepicks college player picks,Legal,age_18_plus
Delaware,prizepicks college player picks,Legal with restrictions,age_18_plus
District of Columbia,college player props,Legal with restrictions,age_18_plus
District of Columbia,prizepicks college player picks,Legal,age_18_plus
Florida,prizepicks college player picks,Legal,age_18_plus
Georgia,prizepicks college player picks,Legal,age_18_plus
Illinois,prizepicks college player picks,Legal with restrictions,age_18_plus
Kansas,prizepicks college player picks,Legal,age_18_plus
Kentucky,college player props,Legal,age_18_plus
Kentucky,prizepicks college player picks,Legal,age_18_plus
Minnesota,prizepicks college player picks,Legal,age_18_plus
Missouri,prizepicks college player picks,Legal with restrictions,age_18_plus
Montana,college player props,Legal,age_18_plus
Nebraska,prizepicks college player picks,Legal,age_18_plus
New Hampshire,college player props,Legal with restrictions,age_18_plus
New Mexico,prizepicks college player picks,Legal,age_18_plus
North Carolina,prizepicks college player picks,Legal,age_18_plus
North Dakota,prizepicks college player picks,Legal,age_18_plus
Oklahoma,prizepicks college player picks,Legal,age_18_plus
Oregon,prizepicks college player picks,Legal,age_18_plus
Rhode Island,college player props,Legal with restrictions,age_18_plus
Rhode Island,prizepicks college player picks,Legal,age_18_plus
South Carolina,prizepicks college player picks,Legal,age_18_plus
South Dakota,prizepicks college player picks,Legal,age_18_plus
Texas,prizepicks college player picks,Legal,age_18_plus
Utah,prizepicks college player picks,Legal,age_18_plus
West Virginia,prizepicks college player picks,Legal,age_18_plus
Wisconsin,prizepicks college player picks,Legal,age_18_plus
Wyoming,college player props,Legal,age_18_plus
Wyoming,prizepicks college player picks,Legal,age_18_plus
Alabama,prizepicks college player picks,Legal,age_19_plus
Colorado,prizepicks college player picks,Legal with restrictions,age_19_plus
Arizona,prizepicks college player picks,Legal,age_21_plus
Arkansas,college player props,Legal,age_21_plus
Connecticut,college player props,Legal with restrictions,age_21_plus
Delaware,college player props,Legal with restrictions,age_21_plus
Illinois,college player props,Legal with restrictions,age_21_plus
Indiana,college player props,Legal with restrictions,age_21_plus
Iowa,college player props,Legal with restrictions,age_21_plus
Kansas,college player props,Legal,age_21_plus
Maine,college player props,Legal with restrictions,age_21_plus
Michigan,college player props,Legal,age_21_plus
Missouri,college player props,Legal with restrictions,age_21_plus
Nebraska,college player props,Legal with restrictions,age_21_plus
Nevada,college player props,Legal,age_21_plus
New Jersey,college player props,Legal with restrictions,age_21_plus
New Mexico,college player props,Legal with restrictions,age_21_plus
North Carolina,college player props,Legal,age_21_plus
North Dakota,college player props,Legal,age_21_plus
Virginia,prizepicks college player picks,Legal,age_21_plus
Washington,college player props,Legal with restrictions,age_21_plus
West Virginia,college player props,Legal,age_21_plus
Alabama,college player props,N/A,
Alaska,college player props,N/A,
Arizona,college player props,Banned,
Arkansas,prizepicks college player picks,Banned,
California,college player props,N/A,
Colorado,college player props,Banned,
Connecticut,prizepicks college player picks,N/A,
Florida,college player props,Banned,
Georgia,college player props,N/A,
Hawaii,prizepicks college player picks,N/A,
Hawaii,college player props,N/A,
Idaho,prizepicks college player picks,N/A,
Idaho,college player props,N/A,
Indiana,prizepicks college player picks,Banned,
Iowa,prizepicks college player picks,N/A,
Louisiana,prizepicks college player picks,N/A,
Louisiana,college player props,Banned,
Maine,prizepicks college player picks,Banned,
Maryland,prizepicks college player picks,N/A,
Maryland,college player props,Banned,
Massachusetts,prizepicks college player picks,Banned,
Massachusetts,college player props,Banned,
Michigan,prizepicks college player picks,N/A,
Minnesota,college player props,N/A,
Mississippi,prizepicks college player picks,N/A,
Mississippi,college player props,Banned,
Montana,prizepicks college player picks,N/A,
Nevada,prizepicks college player picks,N/A,
New Hampshire,prizepicks college player picks,Banned,
New Jersey,prizepicks college player picks,N/A,
New York,prizepicks college player picks,Banned,
New York,college player props,Banned,
Ohio,prizepicks college player picks,N/A,
Ohio,college player props,Banned,
Oklahoma,college player props,N/A,
Oregon,college player props,Banned,
Pennsylvania,prizepicks college player picks,N/A,
Pennsylvania,college player props,Banned,
South Carolina,college player props,N/A,
South Dakota,college player props,Banned,
Tennessee,prizepicks college player picks,Banned,
Tennessee,college player props,Banned,
Texas,college player props,N/A,
Utah,college player props,N/A,
Vermont,prizepicks college player picks,Banned,
Vermont,college player props,Banned,
Virginia,college player props,Banned,
Washington,prizepicks college player picks,N/A,
Wisconsin,college player props,TBD,
