Player,Position,Team,Opponent,Date,Time,Market Name,Site,Line,Average Line Variance,PrizePicks Line,Underdog Line,Sleeper Line,RTSports Line,FanDuel Line,DraftKings Line,BetMGM Line,BetRivers Line,DraftKings Pick6 Line,Caesars Line,Hard Rock Line,file_name
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,0.5,22,0.5,22.5,22.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cayden Boozer,G,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,underdog,17.5,0,17.5,17.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cayden Boozer,G,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,prizepicks,17.5,0,17.5,17.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cayden Boozer,G,Duke,Siena,2026-03-19,18:50:00,PTS+REB,prizepicks,13.5,-,13.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cayden Boozer,G,Duke,Siena,2026-03-19,18:50:00,Points,sleeper,9.5,0,9.5,9.5,9.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cayden Boozer,G,Duke,Siena,2026-03-19,18:50:00,Points,underdog,9.5,0,9.5,9.5,9.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cayden Boozer,G,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,9.5,0,9.5,9.5,9.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,underdog,14.5,0,14.5,14.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,prizepicks,14.5,0,14.5,14.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,underdog,36.5,0,36.5,36.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
